pack_id,pack_name,pack_round_type,pack_sort_order,question_id,question_round_type,answer_type,question_text,option_a,option_b,option_c,option_d,answer_index,answer_text,accepted_answers,explanation,audio_path,image_path
modern-260215,Modern Musicals,mixed,9999,modern-260215-020,general,mcq,Who wrote the music for Billy Elliot the Musical?,Elton John,Andrew Lloyd Webber,Jason Robert Brown,Stephen Schwartz,0.0,Elton John,"[""Elton John"", ""Sir Elton John""]","Billy Elliot's score is by Elton John, with book and lyrics by Lee Hall.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-021,general,mcq,Jersey Boys tells the story of which band?,The Four Seasons,ABBA,The Drifters,Queen,0.0,The Four Seasons,"[""The Four Seasons"", ""Four Seasons""]","Jersey Boys dramatises the formation, success, and breakup of The Four Seasons.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-022,general,mcq,We Will Rock You is a jukebox musical built around songs by which band?,Queen,Oasis,The Beatles,Take That,0.0,Queen,"[""Queen""]","We Will Rock You uses the songs of Queen, with a book by Ben Elton.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-023,general,mcq,Bat Out of Hell: The Musical is built around songs by which composer-songwriter?,Max Martin,Lin-Manuel Miranda,Tim Minchin,Jim Steinman,3.0,Jim Steinman,"[""Jim Steinman"", ""Steinman""]","Bat Out of Hell uses songs written by Jim Steinman, best known through Meat Loaf's albums.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-024,general,mcq,Next to Normal has music by which composer?,Jeanine Tesori,Alan Menken,Tom Kitt,Stephen Schwartz,2.0,Tom Kitt,"[""Tom Kitt"", ""Kitt""]",Next to Normal features music by Tom Kitt and book/lyrics by Brian Yorkey.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-025,general,mcq,& Juliet reimagines which Shakespeare play by changing Juliet's fate?,Macbeth,Romeo and Juliet,Hamlet,Twelfth Night,1.0,Romeo and Juliet,"[""Romeo and Juliet"", ""Romeo & Juliet"", ""Romeo and Juliet (play)""]",& Juliet plays with the ending of Romeo and Juliet so Juliet survives.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-026,general,mcq,"In Hamilton, who sings the song 'Wait for It'?",Alexander Hamilton,Thomas Jefferson,Aaron Burr,George Washington,2.0,Aaron Burr,"[""Aaron Burr"", ""Burr""]",‘Wait for It' is Aaron Burr's signature number in Hamilton.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-027,general,mcq,"In Wicked, what is unusual about Elphaba's appearance from the start?",She is invisible,She cannot speak,She has wings,She has green skin,3.0,She has green skin,"[""green skin"", ""she has green skin"", ""green""]",Elphaba is treated as an outsider because her skin is green.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-028,general,mcq,"In The Book of Mormon, what title do the two lead missionaries use before their surnames?",Reverend,Brother,Elder,Father,2.0,Elder,"[""Elder"", ""Elders""]","Mormon missionaries in the show are addressed as Elders (for example, Elder Price).",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-029,general,mcq,"In Matilda the Musical, what is the name of Matilda's supportive teacher?",Mrs Wormwood,Miss Trunchbull,Miss Honey,Mrs Phelps,2.0,Miss Honey,"[""Miss Honey"", ""Jennifer Honey"", ""Honey""]",Miss Honey recognises Matilda's gifts and tries to protect her.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-030,general,mcq,"In Come From Away, about how many passengers were stranded in Gander after the planes diverted?","About 7,000",About 700,"About 70,000","About 1,700",0.0,"About 7,000","[""about 7,000"", ""7000"", ""7,000"", ""around 7,000""]","The show references roughly 7,000 stranded passengers from 38 diverted planes.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-031,general,mcq,Who wrote the book (script) for Dear Evan Hansen?,Brian Yorkey,Steven Levenson,Lee Hall,David West Read,1.0,Steven Levenson,"[""Steven Levenson"", ""Levenson""]","Steven Levenson wrote the book for Dear Evan Hansen, with music and lyrics by Benj Pasek and Justin Paul.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-032,general,mcq,"In Everybody's Talking About Jamie, Jamie dreams of going to which school event as a drag queen?",Prom,Prizegiving,Parents' Evening,Sports Day,0.0,Prom,"[""Prom"", ""school prom""]",The story builds towards Jamie going to prom as his true self.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-033,general,mcq,"In Kinky Boots, Lola helps Charlie by designing boots for which performers?",Drag queens,Ballet dancers,Circus clowns,Opera singers,0.0,Drag queens,"[""Drag queens"", ""drag queens"", ""drag performers"", ""drag""]",The factory survives by making sturdy high-heeled boots for drag performers.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-034,general,mcq,"In Tina: The Tina Turner Musical, Tina Turner was born with which name?",Etta James,Aretha Franklin,Anna Mae Bullock,Nina Simone,2.0,Anna Mae Bullock,"[""Anna Mae Bullock"", ""Anna Mae"", ""Bullock""]",Tina Turner's birth name was Anna Mae Bullock.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-035,general,mcq,"In Moulin Rouge! The Musical, what is the name of the leading lady at the club?",Cosette,Roxie,Satine,Eliza,2.0,Satine,"[""Satine""]",Satine is the star performer at the Moulin Rouge.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-036,general,mcq,"In Back to the Future, what is Doc Brown's first name?",Eugene,Edward,Elliot,Emmett,3.0,Emmett,"[""Emmett"", ""Emmett Brown""]",Doc is Dr Emmett Brown in Back to the Future.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-037,general,mcq,Operation Mincemeat hinges on planting false documents on what?,A carrier pigeon,A dead body,A submarine,A train guard,1.0,A dead body,"[""A dead body"", ""dead body"", ""a corpse"", ""corpse""]",The plan used a corpse carrying fake papers to mislead the enemy.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-038,general,mcq,"In Heathers: The Musical, what is the protagonist's name?",Veronica Sawyer,Cher Horowitz,Regina George,Eliza Doolittle,0.0,Veronica Sawyer,"[""Veronica Sawyer"", ""Veronica""]",Veronica Sawyer narrates and drives the story in Heathers.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-039,general,mcq,"In Waitress, what is the name of the pie-making waitress at the centre of the story?",Sara Bareilles,Jenna Hunterson,Becky Hart,Dawn Pinkett,1.0,Jenna Hunterson,"[""Jenna Hunterson"", ""Jenna""]",Jenna Hunterson dreams of a new life while working at a diner.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-040,general,mcq,"In Frozen, what is the name of Kristoff's reindeer companion?",Sven,Hans,Olaf,Kristoff,0.0,Sven,"[""Sven""]",Sven is Kristoff's reindeer companion in Frozen.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-041,general,mcq,"In Aladdin, what is the name of the princess Aladdin falls in love with?",Ariel,Aurora,Jasmine,Belle,2.0,Jasmine,"[""Jasmine"", ""Princess Jasmine""]",Princess Jasmine is Aladdin's love interest.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-042,general,mcq,"In The Prince of Egypt, who is the central character raised as an Egyptian prince?",David,Joseph,Moses,Noah,2.0,Moses,"[""Moses""]","The story follows Moses, who later leads the Exodus.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-043,general,mcq,"In Charlie and the Chocolate Factory, what is the chocolatier's name?",P. T. Barnum,George Banks,Edward Bloom,Willy Wonka,3.0,Willy Wonka,"[""Willy Wonka"", ""Wonka""]",Willy Wonka invites children to tour his mysterious factory.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-044,general,mcq,Billy Elliot is set against which real-life industrial dispute?,The suffragette movement,The UK miners' strike,The poll tax riots,The dockers' strike,1.0,The UK miners' strike,"[""UK miners' strike"", ""miners' strike"", ""the miners' strike"", ""miners strike""]",Billy's story sits inside the 1984–85 miners' strike in County Durham.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-045,general,mcq,"Jersey Boys is structured as four parts, each narrated by a band member. These parts are called what?",Acts,Seasons,Volumes,Chapters,1.0,Seasons,"[""Seasons"", ""seasons""]","The show frames its narrative as four 'seasons', matching the band's name.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-046,general,mcq,"In We Will Rock You, what is the name of the rebel group fighting for music?",The Sharks,The Bohemians,The Lost Boys,The Jets,1.0,The Bohemians,"[""Bohemians"", ""The Bohemians""]",The Bohemians try to bring back live music in We Will Rock You.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-047,general,mcq,"In Bat Out of Hell: The Musical, post-apocalyptic Manhattan is renamed what?",Gotham,Emerald City,Panem,Obsidian,3.0,Obsidian,"[""Obsidian""]","Bat Out of Hell is set in post-apocalyptic Manhattan, called Obsidian.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-048,general,mcq,"In Next to Normal, what is the mother at the centre of the story called?",Donna Sheridan,Diane Chambers,Diana Goodman,Delia Deetz,2.0,Diana Goodman,"[""Diana Goodman"", ""Diana""]",Next to Normal centres on Diana Goodman and her family.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-049,general,mcq,Who wrote the book (script) for & Juliet?,Winnie Holzman,David West Read,Steven Levenson,Lee Hall,1.0,David West Read,"[""David West Read"", ""West Read""]",& Juliet has a book by David West Read and uses Max Martin's catalogue.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-050,general,mcq,"Who wrote the book, music, and lyrics for Come From Away?",Benj Pasek and Justin Paul,Toby Marlow and Lucy Moss,Marc Shaiman and Scott Wittman,Irene Sankoff and David Hein,3.0,Irene Sankoff and David Hein,"[""Irene Sankoff and David Hein"", ""Irene Sankoff"", ""David Hein"", ""Sankoff and Hein""]",Come From Away is by the writing team Irene Sankoff and David Hein.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-051,general,text,Type the first name of the mayor of Gander in Come From Away.,,,,,,Claude,"[""Claude"", ""Claude Elliott""]","In Come From Away, Claude is the mayor of Gander.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-052,general,text,Type the name of Matilda's school.,,,,,,Crunchem Hall,"[""Crunchem Hall"", ""Crunchem Hall Primary School"", ""Crunchem Hall School""]","Matilda attends Crunchem Hall, run by Miss Trunchbull.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-053,general,text,Type the first name of Alexander Hamilton's wife in Hamilton.,,,,,,Eliza,"[""Eliza"", ""Eliza Hamilton"", ""Elizabeth"", ""Elizabeth Hamilton"", ""Elizabeth Schuyler"", ""Elizabeth Schuyler Hamilton""]",Eliza (Elizabeth Schuyler Hamilton) is Alexander Hamilton's wife in Hamilton.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-054,general,text,Type the title of the opening song in Six.,,,,,,Ex-Wives,"[""Ex-Wives"", ""Ex Wives"", ""Exwives"", ""Exwives (Ex-Wives)"", ""Ex-Wives (SIX)""]",‘Ex-Wives' opens Six and introduces the queens.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-055,general,text,Type the name of the mega-corporation that controls music in We Will Rock You.,,,,,,Globalsoft,"[""Globalsoft"", ""Global Soft""]","In We Will Rock You, the Killer Queen runs Globalsoft.",,
modern-260215,Modern Musicals,mixed,9999,modern-260215-056,general,text,Type the name of the WWII deception plan at the centre of Operation Mincemeat.,,,,,,Operation Mincemeat,"[""Operation Mincemeat"", ""Operation Mincemeat: A New Musical"", ""Mincemeat""]",The musical dramatises the real Operation Mincemeat deception.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-057,general,text,Type the name of the green-skinned witch who becomes the Wicked Witch of the West.,,,,,,Elphaba,"[""Elphaba"", ""Elphaba Thropp""]",Wicked follows Elphaba's story before The Wizard of Oz.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-058,general,text,Type the name of Charlie's family business in Kinky Boots (as written on the sign).,,,,,,Price & Son,"[""Price & Son"", ""Price and Son"", ""Price & Sons"", ""Price and Sons""]",Charlie inherits the shoe factory Price & Son.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-059,general,text,Type the first name of the young writer who is the male lead in Moulin Rouge! The Musical.,,,,,,Christian,"[""Christian""]",Christian is the young writer who falls for Satine in Moulin Rouge! The Musical.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-060,general,text,Type the title of the musical by Tom Kitt and Brian Yorkey that won the Pulitzer Prize for Drama.,,,,,,Next to Normal,"[""Next to Normal"", ""Next 2 Normal"", ""Next-to-Normal"", ""NTN""]",Next to Normal won the Pulitzer Prize for Drama and explores a family living with mental illness.,,
modern-260215,Modern Musicals,mixed,9999,modern-260215-061,audio,mcq,AUDIO: Identify the musical from this clip.,Heathers: The Musical,Frozen,Matilda the Musical,Wicked,3.0,Wicked,"[""Wicked""]",This clip comes from Wicked.,2026-02-15/audio-001.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-062,audio,mcq,AUDIO: Identify the musical from this clip.,The Book of Mormon,Dear Evan Hansen,& Juliet,Hamilton,3.0,Hamilton,"[""Hamilton""]",This clip comes from Hamilton.,2026-02-15/audio-002.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-063,audio,mcq,AUDIO: Identify the musical from this clip.,Six,Waitress,Everybody's Talking About Jamie,Heathers: The Musical,0.0,Six,"[""Six"", ""SIX""]",This clip comes from Six.,2026-02-15/audio-003.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-064,audio,mcq,AUDIO: Identify the musical from this clip.,The Book of Mormon,Kinky Boots,Come From Away,Jersey Boys,0.0,The Book of Mormon,"[""The Book of Mormon"", ""Book of Mormon"", ""BoM"", ""BOM""]",This clip comes from The Book of Mormon.,2026-02-15/audio-004.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-065,audio,mcq,AUDIO: Identify the musical from this clip.,Charlie and the Chocolate Factory,Matilda the Musical,Wicked,Billy Elliot,1.0,Matilda the Musical,"[""Matilda"", ""Matilda the Musical""]",This clip comes from Matilda the Musical.,2026-02-15/audio-005.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-066,audio,mcq,AUDIO: Identify the musical from this clip.,Dear Evan Hansen,Hamilton,Next to Normal,Everybody's Talking About Jamie,0.0,Dear Evan Hansen,"[""Dear Evan Hansen"", ""DEH""]",This clip comes from Dear Evan Hansen.,2026-02-15/audio-006.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-067,audio,mcq,AUDIO: Identify the musical from this clip.,Come From Away,The Book of Mormon,Operation Mincemeat,Jersey Boys,0.0,Come From Away,"[""Come From Away"", ""Come from Away"", ""CFA""]",This clip comes from Come From Away.,2026-02-15/audio-007.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-068,audio,mcq,AUDIO: Identify the musical from this clip.,Six,Kinky Boots,Heathers: The Musical,Everybody's Talking About Jamie,3.0,Everybody's Talking About Jamie,"[""Everybody's Talking About Jamie"", ""Everybody's Talking About Jamie"", ""Jamie""]",This clip comes from Everybody's Talking About Jamie.,2026-02-15/audio-008.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-069,audio,mcq,AUDIO: Identify the musical from this clip.,Matilda the Musical,& Juliet,Billy Elliot,Kinky Boots,3.0,Kinky Boots,"[""Kinky Boots""]",This clip comes from Kinky Boots.,2026-02-15/audio-009.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-070,audio,mcq,AUDIO: Identify the musical from this clip.,Charlie and the Chocolate Factory,Frozen,Wicked,Aladdin,1.0,Frozen,"[""Frozen"", ""Disney's Frozen"", ""Disney's Frozen""]",This clip comes from Frozen.,2026-02-15/audio-010.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-071,audio,mcq,AUDIO: Identify the musical from this clip.,Frozen,The Prince of Egypt,Moulin Rouge! The Musical,Aladdin,3.0,Aladdin,"[""Aladdin"", ""Disney's Aladdin"", ""Disney's Aladdin""]",This clip comes from Aladdin.,2026-02-15/audio-011.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-072,audio,mcq,AUDIO: Identify the musical from this clip.,Matilda the Musical,Come From Away,The Prince of Egypt,The Book of Mormon,2.0,The Prince of Egypt,"[""The Prince of Egypt"", ""Prince of Egypt""]",This clip comes from The Prince of Egypt.,2026-02-15/audio-012.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-073,audio,mcq,AUDIO: Identify the musical from this clip.,Moulin Rouge! The Musical,Jersey Boys,Back to the Future: The Musical,Bat Out of Hell: The Musical,2.0,Back to the Future: The Musical,"[""Back to the Future"", ""Back to the Future: The Musical"", ""BTTF""]",This clip comes from Back to the Future: The Musical.,2026-02-15/audio-013.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-074,audio,mcq,AUDIO: Identify the musical from this clip.,Heathers: The Musical,Dear Evan Hansen,Next to Normal,Six,0.0,Heathers: The Musical,"[""Heathers"", ""Heathers: The Musical""]",This clip comes from Heathers: The Musical.,2026-02-15/audio-014.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-075,audio,mcq,AUDIO: Identify the musical from this clip.,The Book of Mormon,Waitress,Matilda the Musical,Everybody's Talking About Jamie,1.0,Waitress,"[""Waitress""]",This clip comes from Waitress.,2026-02-15/audio-015.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-076,audio,text,AUDIO: Type the musical this clip comes from.,,,,,,Jersey Boys,"[""Jersey Boys""]",This clip comes from Jersey Boys.,2026-02-15/audio-016.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-077,audio,text,AUDIO: Type the title of the musical that this Queen song appears in as part of the story.,,,,,,We Will Rock You,"[""We Will Rock You"", ""WWRY""]",We Will Rock You is the jukebox musical built around Queen's catalogue.,2026-02-15/audio-017.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-078,audio,text,AUDIO: Type the musical this clip comes from.,,,,,,Bat Out of Hell,"[""Bat Out of Hell"", ""Bat Out of Hell: The Musical""]",This clip comes from Bat Out of Hell: The Musical.,2026-02-15/audio-018.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-079,audio,text,AUDIO: Type the musical this clip comes from.,,,,,,Operation Mincemeat,"[""Operation Mincemeat"", ""Operation Mincemeat: A New Musical"", ""Operation Mincemeat: The Musical""]",This clip comes from Operation Mincemeat.,2026-02-15/audio-019.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-080,audio,text,AUDIO: Type the musical this clip comes from.,,,,,,Next to Normal,"[""Next to Normal"", ""NTN""]",This clip comes from Next to Normal.,2026-02-15/audio-020.mp3,
modern-260215,Modern Musicals,mixed,9999,modern-260215-081,picture,mcq,IMAGE: Identify the musical shown in this poster or logo.,Matilda the Musical,Frozen,Wicked,Heathers: The Musical,2.0,Wicked,"[""Wicked""]",This image is from Wicked.,,2026-02-15/pic-001.png
modern-260215,Modern Musicals,mixed,9999,modern-260215-082,picture,mcq,IMAGE: Identify the musical shown in this poster or logo.,Dear Evan Hansen,Come From Away,Hamilton,The Book of Mormon,2.0,Hamilton,"[""Hamilton""]",This image is from Hamilton.,,2026-02-15/pic-002.png
modern-260215,Modern Musicals,mixed,9999,modern-260215-083,picture,mcq,IMAGE: Identify the musical shown in this poster or logo.,Everybody's Talking About Jamie,Heathers: The Musical,& Juliet,Six,3.0,Six,"[""Six"", ""SIX""]",This image is from Six.,,2026-02-15/pic-003.png
modern-260215,Modern Musicals,mixed,9999,modern-260215-084,picture,mcq,IMAGE: Identify the musical shown in this poster or logo.,& Juliet,Bat Out of Hell: The Musical,Moulin Rouge! The Musical,We Will Rock You,0.0,& Juliet,"[""& Juliet"", ""and Juliet"", ""And Juliet"", ""&Juliet""]",This image is from & Juliet.,,2026-02-15/pic-004.png
modern-260215,Modern Musicals,mixed,9999,modern-260215-085,picture,mcq,IMAGE: Identify the musical shown in this poster or logo.,Dear Evan Hansen,Come From Away,Operation Mincemeat,Matilda the Musical,1.0,Come From Away,"[""Come From Away"", ""Come from Away"", ""CFA""]",This image is from Come From Away.,,2026-02-15/pic-005.png
modern-260215,Modern Musicals,mixed,9999,modern-260215-086,picture,mcq,IMAGE: Identify the musical shown in this poster or logo.,Heathers: The Musical,Next to Normal,Hamilton,Dear Evan Hansen,3.0,Dear Evan Hansen,"[""Dear Evan Hansen"", ""DEH""]",This image is from Dear Evan Hansen.,,2026-02-15/pic-006.png
modern-260215,Modern Musicals,mixed,9999,modern-260215-087,picture,mcq,IMAGE: Identify the musical shown in this poster or logo.,The Book of Mormon,Come From Away,Operation Mincemeat,Back to the Future: The Musical,2.0,Operation Mincemeat,"[""Operation Mincemeat"", ""Operation Mincemeat: A New Musical"", ""Operation Mincemeat: The Musical""]",This image is from Operation Mincemeat.,,2026-02-15/pic-007.png
modern-260215,Modern Musicals,mixed,9999,modern-260215-088,picture,mcq,IMAGE: Identify the musical shown in this poster or logo.,Hamilton,Kinky Boots,Back to the Future: The Musical,Moulin Rouge! The Musical,2.0,Back to the Future: The Musical,"[""Back to the Future"", ""Back to the Future: The Musical"", ""BTTF""]",This image is from Back to the Future: The Musical.,,2026-02-15/pic-008.png
modern-260215,Modern Musicals,mixed,9999,modern-260215-089,picture,mcq,IMAGE: Identify the musical shown in this poster or logo.,Wicked,Matilda the Musical,Charlie and the Chocolate Factory,Billy Elliot,1.0,Matilda the Musical,"[""Matilda"", ""Matilda the Musical""]",This image is from Matilda the Musical.,,2026-02-15/pic-009.png
modern-260215,Modern Musicals,mixed,9999,modern-260215-090,picture,mcq,IMAGE: Identify the musical shown in this poster or logo.,The Prince of Egypt,The Book of Mormon,Jersey Boys,Kinky Boots,1.0,The Book of Mormon,"[""The Book of Mormon"", ""Book of Mormon"", ""BoM"", ""BOM""]",This image is from The Book of Mormon.,,2026-02-15/pic-010.png
